Timestamp,DeviceID,MaximumWindSpeed(kmh),WindSpeed(kmh),Precipitation(mm),Pressure(hPa),Temperature(C),Humidity(%),Wind Direction,Soil Mosture(%)
1733914719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.61 ,36.87 ,W ,100
1733915319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.08 ,35.78 ,W ,100
1733915919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.94 ,35.34 ,W ,100
1733916519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.55 ,34.45 ,W ,100
1733917119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.99 ,33.87 ,W ,100
1733917719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.81 ,33.98 ,W ,100
1733918319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.53 ,32.86 ,W ,100
1733918919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.15 ,32.53 ,W ,100
1733919519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.87 ,31.98 ,W ,100
1733920119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.08 ,31.90 ,W ,100
1733920719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.24 ,31.98 ,W ,100
1733921319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.80 ,31.50 ,W ,100
1733921919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.99 ,30.66 ,W ,100
1733922519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.76 ,29.94 ,W ,100
1733923119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,21.76 ,30.19 ,W ,100
1733923719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,20.97 ,31.12 ,W ,100
1733924319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,19.58 ,32.63 ,W ,100
1733924919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,17.06 ,36.16 ,W ,100
1733925519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,14.91 ,39.21 ,W ,100
1733926119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,13.50 ,41.61 ,W ,100
1733926719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,12.75 ,43.31 ,W ,100
1733927319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,12.29 ,44.41 ,W ,100
1733927919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,11.84 ,45.48 ,W ,100
1733928519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,11.76 ,45.97 ,W ,100
1733929119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,11.40 ,46.70 ,W ,100
1733929719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,11.15 ,47.52 ,W ,100
1733930319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,10.92 ,47.81 ,W ,100
1733930919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,10.54 ,48.71 ,W ,100
1733931519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,10.30 ,49.65 ,W ,100
1733932119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,10.03 ,50.05 ,W ,100
1733932719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,9.88 ,50.39 ,W ,100
1733933319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,9.79 ,50.87 ,W ,100
1733933919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,9.61 ,51.35 ,W ,100
1733934519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,9.51 ,52.03 ,W ,100
1733935119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,9.30 ,53.17 ,W ,100
1733935719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.97 ,54.45 ,W ,100
1733936319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.77 ,55.51 ,W ,100
1733936919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.59 ,56.24 ,W ,100
1733937519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.57 ,55.86 ,W ,100
1733938119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.40 ,56.66 ,W ,100
1733938719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.28 ,57.26 ,W ,100
1733939319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,8.08 ,58.08 ,W ,100
1733939919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.92 ,58.51 ,W ,100
1733940519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.78 ,58.89 ,W ,100
1733941119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.76 ,59.17 ,W ,100
1733941719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.56 ,59.82 ,W ,100
1733942319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.50 ,60.36 ,W ,100
1733942919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.39 ,60.75 ,W ,100
1733943519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.37 ,60.99 ,W ,100
1733944119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.26 ,61.38 ,W ,100
1733944719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.19 ,61.75 ,W ,100
1733945319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.12 ,62.00 ,W ,100
1733945919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.08 ,62.16 ,W ,100
1733946519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.06 ,62.23 ,W ,100
1733947119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,7.03 ,62.21 ,W ,100
1733947719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.98 ,62.35 ,W ,100
1733948319,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.95 ,62.67 ,W ,100
1733948919,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.86 ,63.06 ,W ,100
1733949519,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.81 ,63.22 ,W ,100
1733950119,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.77 ,63.56 ,W ,100
1733950719,1wtest,0.00 ,0.00 ,0.00 ,-3517.48 ,6.67 ,63.75 ,W ,100
